Latitude,Longitude,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,TD
54.03333333,-130.2833333,5.9,10.4,16.2,11.7,1.6,4.4,11.1,6.8,3.8,7.4,13.7,9.3,632,434,347,727,11.3
52.13333333,-128.1333333,6.7,11.9,18.3,12.8,2.1,4.9,11.3,7.5,4.4,8.4,14.8,10.2,830,554,420,896,11.8
59.45,-135.3,0.4,10.1,18,8.3,-5.7,1,10.3,2.4,-2.6,5.6,14.1,5.3,224,122,164,302,17.5
58.45,-135.75,2.1,8.9,16.6,8.6,-2.1,1.5,9.5,3.4,0,5.2,13,6,476,215,338,554,14.1
58.4,-134.7,-0.2,7,14.5,6.2,-5.1,-0.7,7.7,1.1,-2.7,3.2,11.1,3.7,634,380,589,861,14.7
58.33333333,-134.5166667,1.6,9.3,16.8,8.3,-2.9,1.5,9.8,3.4,-0.6,5.4,13.3,5.8,464,279,466,647,14.9
57.08333333,-135.1833333,1.2,7.2,14.1,7.4,-2.6,0.4,8.3,2.8,-0.7,3.8,11.2,5.1,1242,624,901,1624,12.9
57.06666667,-135.35,4.3,9.5,15.8,10.3,-0.5,2.2,9.8,4.6,1.9,5.9,12.8,7.5,798,417,534,1012,12.1
56.78333333,-132.9666667,2.9,10.2,17.5,9.9,-1.8,2.3,9.8,4,0.5,6.2,13.7,7,781,519,540,982,14.2
55.66666667,-132.75,3.9,10.6,19.1,10.9,-0.6,2.8,10.6,5.1,1.7,6.7,14.8,8,837,509,431,985,14.2
55.56666667,-133.05,4.9,10.5,16.5,11.3,0.3,3.2,10.6,5.6,2.6,6.9,13.6,8.5,689,429,417,792,12.2
55.36666667,-131.7,5.1,11,18,11.6,0.2,3.8,11.3,6,2.7,7.4,14.6,8.8,946,677,621,1166,13.2
55.05,-131.5833333,5.9,10.9,17.4,11.8,1.5,4.6,11.6,6.8,3.7,7.7,14.5,9.3,686,515,454,826,12.1
54.25,-130.2666667,1.6,10.4,16.3,9.4,-2.5,0.6,9,3.4,-0.5,5.5,12.7,6.4,1337,967,817,1509,14.7
59.8,-133.7833333,-7.6,5.7,16.9,4,-15,-4.9,6.6,-2.8,-11.3,0.4,11.8,0.6,114,53,132,113,24.6
57.48333333,-130.2166667,-5.7,7.4,17.7,4.9,-13.7,-4.3,5.9,-2.3,-9.7,1.5,11.8,1.3,184,93,200,196,22.8
59.1,-129.7333333,-8.5,6.7,18.9,4,-18.5,-5.7,6.9,-4.4,-13.5,0.5,12.9,-0.2,100,43,136,96,28.6
57.46666667,-130.2,-5.3,7.3,17.5,4.8,-13.7,-4.4,5.8,-2.5,-9.5,1.5,11.6,1.2,192,100,205,204,22.6
58.66666667,-124.1666667,-7.9,6.4,18.9,4.4,-17.8,-5.5,7.1,-4.8,-12.8,0.5,13,-0.2,86,126,328,110,27.9
58.53333333,-122.7,-10.7,8.2,22,4.8,-19.7,-4.8,9,-4.8,-15.2,1.7,15.5,0,99,106,258,120,32.9
59.9,-122.0833333,-11.4,6.9,22.2,4.9,-21,-7.4,9.4,-5.2,-16.2,-0.2,15.8,-0.2,77,75,236,97,34.6
59.98333333,-128.55,-10.6,7.6,20.5,3.6,-22,-6.4,7.9,-5.6,-16.3,0.6,14.2,-1,95,56,179,104,33
59.05,-125.7666667,-7.3,6.7,19,4.7,-17.3,-6,6.5,-4.6,-12.3,0.4,12.8,0,100,70,209,98,27.2
58.65,-124.7666667,-5.2,5,16.1,3.5,-14.7,-6,5.7,-4.3,-10,-0.5,10.9,-0.4,85,108,340,124,22.5
55.8,-124.8166667,-5.3,9.2,19,6.2,-12.3,-2.3,5.7,-1,-8.8,3.4,12.3,2.6,124,84,165,134,22.4
56.03333333,-122.0833333,-4.4,9.6,20.4,7.4,-12.5,-2.2,6.9,-1.4,-8.4,3.7,13.7,3,107,102,215,140,23.5
56.01666667,-120.6166667,-6.1,8.2,20.1,6.2,-14.7,-3.2,7.6,-2.7,-10.4,2.5,13.9,1.8,86,88,205,117,25.6
54.93333333,-120.25,-3.3,8.1,19.4,7.2,-13.1,-4.2,6.6,-2.6,-8.2,2,13,2.3,122,105,225,159,22.9
54.63333333,-127.4333333,-2.6,7.5,17.3,6.5,-9.5,-2.4,6.6,-0.8,-6.1,2.5,12,2.9,194,106,139,192,19.2
57,-122.4,-5.3,7.1,18.3,5,-13.4,-3.8,5.6,-3.3,-9.3,1.6,12,0.8,88,147,317,136,23.1
55.95,-123.8,-4.3,8.7,19.3,7.2,-10.1,-1,6.8,0.4,-7.2,3.8,13,3.8,110,78,158,136,21.6
55.63333333,-127.9,-2.5,9.9,19,7.3,-8.4,-1,7.9,0.5,-5.5,4.4,13.4,3.9,183,129,213,233,20.3
59.5,-139.5,2.3,7.9,15.2,8.7,-3.8,-0.3,8.5,2,-0.8,3.8,11.9,5.3,945,686,739,1239,13.6
