,Latitude,Longitude
142,52.5,-125.5
172,50.5,-117.5
145,52.5,-122.5
80,57.5,-125.5
147,52.5,-120.5
95,56.5,-125.5
10,55.56666667,-133.05
120,54.5,-125.5
170,50.5,-119.5
72,57.5,-133.5
137,53.5,-120.5
130,53.5,-127.5
146,52.5,-121.5
8,56.78333333,-132.9666667
144,52.5,-123.5
79,57.5,-126.5
52,58.5,-137.5
24,55.8,-124.8166667
155,51.5,-122.5
174,50.5,-115.5
151,51.5,-126.5
165,50.5,-124.5
36,59.5,-135.5
20,59.9,-122.0833333
175,49.5,-126.5
28,54.63333333,-127.4333333
13,54.25,-130.2666667
71,57.5,-134.5
122,54.5,-123.5
121,54.5,-124.5
112,55.5,-122.5
88,56.5,-132.5
60,58.5,-129.5
7,57.06666667,-135.35
30,55.95,-123.8
167,50.5,-122.5
181,49.5,-120.5
29,57.0,-122.4
35,59.5,-136.5
0,54.03333333,-130.2833333
136,53.5,-121.5
45,59.5,-126.5
132,53.5,-125.5
40,59.5,-131.5
59,58.5,-130.5
139,52.5,-128.5
46,59.5,-125.5
5,58.33333333,-134.5166667
16,59.1,-129.7333333
159,51.5,-118.5
65,58.5,-124.5
74,57.5,-131.5
61,58.5,-128.5
184,49.5,-117.5
38,59.5,-133.5
27,54.93333333,-120.25
54,58.5,-135.5
177,49.5,-124.5
141,52.5,-126.5
171,50.5,-118.5
158,51.5,-119.5
87,56.5,-133.5
9,55.66666667,-132.75
6,57.08333333,-135.1833333
150,51.5,-127.5
107,55.5,-127.5
173,50.5,-116.5
178,49.5,-123.5
185,49.5,-116.5
119,54.5,-126.5
133,53.5,-124.5
89,56.5,-131.5
21,59.98333333,-128.55
11,55.36666667,-131.7
67,58.5,-122.5
3,58.45,-135.75
86,56.5,-134.5
127,53.5,-130.5
91,56.5,-129.5
128,53.5,-129.5
48,59.5,-123.5
157,51.5,-120.5
117,54.5,-128.5
44,59.5,-127.5
51,59.5,-120.5
1,52.13333333,-128.1333333
81,57.5,-124.5
18,58.66666667,-124.1666667
12,55.05,-131.5833333
166,50.5,-123.5
56,58.5,-133.5
25,56.03333333,-122.0833333
101,55.5,-133.5
43,59.5,-128.5
129,53.5,-128.5
103,55.5,-131.5
14,59.8,-133.7833333
134,53.5,-123.5
115,54.5,-130.5
188,48.5,-123.5
70,57.5,-135.5
15,57.48333333,-130.2166667
22,59.05,-125.7666667
138,52.5,-131.5
58,58.5,-131.5
75,57.5,-130.5
64,58.5,-125.5
69,58.5,-120.5
182,49.5,-119.5
131,53.5,-126.5
76,57.5,-129.5
34,59.5,-137.5
94,56.5,-126.5
118,54.5,-127.5
97,56.5,-123.5
102,55.5,-132.5
92,56.5,-128.5
124,54.5,-121.5
99,56.5,-121.5
105,55.5,-129.5
135,53.5,-122.5
176,49.5,-125.5
163,50.5,-126.5
186,49.5,-115.5
39,59.5,-132.5
84,57.5,-121.5
2,59.45,-135.3
55,58.5,-134.5
49,59.5,-122.5
68,58.5,-121.5
179,49.5,-122.5
164,50.5,-125.5
78,57.5,-127.5
183,49.5,-118.5
153,51.5,-124.5
111,55.5,-123.5
32,59.5,-139.5
73,57.5,-132.5
47,59.5,-124.5
187,48.5,-124.5
113,55.5,-121.5
96,56.5,-124.5
57,58.5,-132.5
123,54.5,-122.5
106,55.5,-128.5
83,57.5,-122.5
17,57.46666667,-130.2
98,56.5,-122.5
66,58.5,-123.5
126,53.5,-132.5
109,55.5,-125.5
